,ID,Pin-code,age,Fam members,Education,T.Experience,Income,Mortgage,Fixed Deposit,Demat,Net Banking,Loan
0,10001,110001,23,4.0,Under Graduate,1.0,392000,0,no,yes,no,no
1,10002,110014,43,3.0,Under Graduate,19.0,272000,0,no,yes,no,no
2,10003,110014,37,1.0,Under Graduate,15.0,88000,0,no,no,no,no
3,10004,110003,33,1.0,Graduate,9.0,800000,0,no,no,no,no
4,10005,110004,33,4.0,Graduate,8.0,360000,0,no,no,no,no
5,10006,110004,35,4.0,Graduate,13.0,232000,1240000,no,no,yes,no
6,10007,110001,51,2.0,Graduate,27.0,576000,0,no,no,yes,no
7,10008,110004,48,1.0,Post Graduate,24.0,176000,0,no,no,no,no
8,10009,110011,33,3.0,Graduate,10.0,648000,832000,no,no,yes,no
9,100010,110001,32,1.0,Post Graduate,9.0,1440000,0,no,no,no,yes
10,100011,110003,63,4.0,Post Graduate,39.0,840000,0,no,no,no,no
11,100012,110004,27,3.0,Graduate,5.0,360000,0,no,no,yes,no
12,100013,110014,46,2.0,Post Graduate,23.0,912000,0,no,yes,no,no
13,100014,110004,57,4.0,Graduate,32.0,320000,0,no,no,yes,no
14,100015,110001,65,1.0,Under Graduate,41.0,896000,0,no,yes,no,no
15,100016,110004,58,1.0,Post Graduate,30.0,176000,0,no,no,yes,no
16,100017,110003,36,4.0,Post Graduate,14.0,1040000,1072000,no,no,no,yes
17,100018,110001,40,4.0,Under Graduate,18.0,648000,0,no,no,no,no
18,100019,110003,44,2.0,Post Graduate,21.0,1544000,0,no,no,no,yes
19,100020,110004,53,1.0,Graduate,28.0,168000,0,no,yes,no,no
20,100021,110004,54,4.0,Graduate,31.0,200000,888000,no,no,yes,no
21,100022,110003,55,3.0,Post Graduate,27.0,504000,0,no,no,yes,no
22,100023,110014,27,1.0,Under Graduate,5.0,496000,2080000,no,no,yes,no
23,100024,110004,42,2.0,Under Graduate,18.0,344000,1304000,no,yes,no,no
24,100025,110014,34,2.0,Under Graduate,11.0,1216000,1272000,no,no,no,no
25,100026,110003,41,3.0,Under Graduate,19.0,232000,776000,no,no,yes,no
26,100027,110004,38,4.0,Post Graduate,16.0,664000,0,no,no,no,no
27,100028,110014,44,1.0,Under Graduate,20.0,1264000,0,no,no,yes,no
28,100029,110011,54,1.0,Post Graduate,30.0,384000,0,no,no,yes,no
29,100030,110003,36,1.0,Graduate,13.0,952000,0,yes,no,yes,yes
30,100031,110014,57,1.0,Post Graduate,35.0,280000,976000,no,no,yes,no
31,100032,110014,38,1.0,Graduate,16.0,232000,0,no,no,yes,no
32,100033,110014,51,2.0,Post Graduate,28.0,328000,1544000,no,no,no,no
33,100034,110003,28,3.0,Post Graduate,6.0,144000,0,no,no,no,no
34,100035,110014,29,4.0,Post Graduate,5.0,400000,0,no,no,yes,no
35,100036,110014,46,3.0,Under Graduate,24.0,648000,0,no,no,no,no
36,100037,110014,57,1.0,Under Graduate,35.0,968000,0,no,no,no,no
37,100038,110014,49,1.0,Post Graduate,25.0,568000,1584000,no,no,no,no
38,100039,110014,40,3.0,Post Graduate,18.0,1128000,0,yes,yes,yes,yes
39,100040,110011,36,4.0,Post Graduate,13.0,640000,2280000,no,no,yes,no
40,100041,110011,55,3.0,Post Graduate,32.0,672000,0,no,yes,no,no
41,100042,110004,32,3.0,Under Graduate,9.0,480000,0,no,no,no,no
42,100043,110004,30,4.0,Graduate,7.0,1056000,3296000,no,no,yes,yes
43,100044,110014,37,1.0,Under Graduate,15.0,360000,0,no,no,yes,no
44,100045,110014,44,1.0,Under Graduate,20.0,832000,0,no,no,yes,no
45,100046,110003,55,4.0,Under Graduate,31.0,416000,0,no,no,no,no
46,100047,110003,37,3.0,Graduate,14.0,344000,1224000,no,no,yes,no
